Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Não Identificado,Portal NE10,01/02/2024,0 x 0,236,0,"R$0,25 ","0,15","1,0593"
Não Identificado,Portal NE10,02/02/2024,0 x 0,165,0,"R$0,16 ","0,096","0,9697"
Não Identificado,Portal NE10,03/02/2024,0 x 0,163,0,"R$0,16 ","0,096","0,9816"
Não Identificado,Portal NE10,04/02/2024,0 x 0,145,0,"R$0,20 ","0,12","1,3793"
Não Identificado,Portal NE10,05/02/2024,0 x 0,101,0,"R$0,08 ","0,048","0,7921"
Não Identificado,Portal NE10,06/02/2024,0 x 0,103,0,"R$0,12 ","0,072","1,165"
Não Identificado,Portal NE10,07/02/2024,0 x 0,129,0,"R$0,17 ","0,102","1,3178"
Não Identificado,Portal NE10,08/02/2024,0 x 0,46,0,"R$0,11 ","0,066","2,3913"
Não Identificado,Portal NE10,09/02/2024,0 x 0,93,0,"R$0,20 ","0,12","2,1505"
Não Identificado,Portal NE10,10/02/2024,0 x 0,75,0,"R$0,18 ","0,108","2,4"
Não Identificado,Portal NE10,11/02/2024,0 x 0,47,0,"R$0,10 ","0,06","2,1277"
Não Identificado,Portal NE10,12/02/2024,0 x 0,78,0,"R$0,20 ","0,12","2,5641"
Não Identificado,Portal NE10,13/02/2024,0 x 0,53,0,"R$0,13 ","0,078","2,4528"
Não Identificado,Portal NE10,14/02/2024,0 x 0,42,0,"R$0,17 ","0,102","4,0476"
Não Identificado,Portal NE10,15/02/2024,0 x 0,121,0,"R$0,20 ","0,12","1,6529"
Não Identificado,Portal NE10,13/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,01/02/2024,0 x 0,299,1,"R$0,24 ","0,144","0,8027"
Não Identificado,Portal NE10,02/02/2024,0 x 0,517,0,"R$0,65 ","0,39","1,2573"
Não Identificado,Portal NE10,03/02/2024,0 x 0,88,0,"R$0,19 ","0,114","2,1591"
Não Identificado,Portal NE10,04/02/2024,0 x 0,83,0,"R$0,06 ","0,036","0,7229"
Não Identificado,Portal NE10,05/02/2024,0 x 0,249,0,"R$0,26 ","0,156","1,0442"
Não Identificado,Portal NE10,06/02/2024,0 x 0,170,0,"R$0,16 ","0,096","0,9412"
Não Identificado,Portal NE10,07/02/2024,0 x 0,61,0,"R$0,05 ","0,03","0,8197"
Não Identificado,Portal NE10,08/02/2024,0 x 0,11,0,"R$0,01 ","0,006","0,9091"
Não Identificado,Portal NE10,09/02/2024,0 x 0,119,0,"R$0,10 ","0,06","0,8403"
Não Identificado,Portal NE10,10/02/2024,0 x 0,91,0,"R$0,10 ","0,06","1,0989"
Não Identificado,Portal NE10,11/02/2024,0 x 0,107,0,"R$0,08 ","0,048","0,7477"
Não Identificado,Portal NE10,12/02/2024,0 x 0,147,0,"R$0,11 ","0,066","0,7483"
Não Identificado,Portal NE10,13/02/2024,0 x 0,128,0,"R$0,11 ","0,066","0,8594"
Não Identificado,Portal NE10,14/02/2024,0 x 0,207,0,"R$0,14 ","0,084","0,6763"
Não Identificado,Portal NE10,15/02/2024,0 x 0,236,0,"R$0,16 ","0,096","0,678"
Não Identificado,Portal NE10,02/02/2024,0 x 0,7,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,10/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,13/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,01/02/2024,0 x 0,1911,0,"R$2,98 ","1,788","1,5594"
Não Identificado,Portal NE10,02/02/2024,0 x 0,1434,0,"R$2,65 ","1,59","1,848"
Não Identificado,Portal NE10,03/02/2024,0 x 0,493,0,"R$1,42 ","0,852","2,8803"
Não Identificado,Portal NE10,04/02/2024,0 x 0,552,0,"R$1,02 ","0,612","1,8478"
Não Identificado,Portal NE10,05/02/2024,0 x 0,1050,1,"R$2,46 ","1,476","2,3429"
Não Identificado,Portal NE10,06/02/2024,0 x 0,1243,0,"R$2,43 ","1,458","1,9549"
Não Identificado,Portal NE10,07/02/2024,0 x 0,1309,0,"R$2,42 ","1,452","1,8487"
Não Identificado,Portal NE10,08/02/2024,0 x 0,635,1,"R$1,74 ","1,044","2,7402"
Não Identificado,Portal NE10,09/02/2024,0 x 0,725,0,"R$1,66 ","0,996","2,2897"
Não Identificado,Portal NE10,10/02/2024,0 x 0,584,0,"R$1,35 ","0,81","2,3116"
Não Identificado,Portal NE10,11/02/2024,0 x 0,519,1,"R$1,43 ","0,858","2,7553"
Não Identificado,Portal NE10,12/02/2024,0 x 0,651,0,"R$1,39 ","0,834","2,1352"
Não Identificado,Portal NE10,13/02/2024,0 x 0,538,1,"R$1,31 ","0,786","2,4349"
Não Identificado,Portal NE10,14/02/2024,0 x 0,717,0,"R$1,94 ","1,164","2,7057"
Não Identificado,Portal NE10,15/02/2024,0 x 0,1694,0,"R$4,10 ","2,46","2,4203"
Não Identificado,Portal NE10,01/02/2024,0 x 0,2647,2,"R$2,71 ","1,626","1,0238"
Não Identificado,Portal NE10,02/02/2024,0 x 0,1917,5,"R$2,13 ","1,278","1,1111"
Não Identificado,Portal NE10,03/02/2024,0 x 0,147,2,"R$0,54 ","0,324","3,6735"
Não Identificado,Portal NE10,04/02/2024,0 x 0,376,0,"R$1,01 ","0,606","2,6862"
Não Identificado,Portal NE10,05/02/2024,0 x 0,2515,7,"R$2,82 ","1,692","1,1213"
Não Identificado,Portal NE10,06/02/2024,0 x 0,2668,6,"R$2,80 ","1,68","1,0495"
Não Identificado,Portal NE10,07/02/2024,0 x 0,1607,3,"R$1,83 ","1,098","1,1388"
Não Identificado,Portal NE10,08/02/2024,0 x 0,87,0,"R$0,11 ","0,066","1,2644"
Não Identificado,Portal NE10,09/02/2024,0 x 0,1336,3,"R$1,47 ","0,882","1,1003"
Não Identificado,Portal NE10,10/02/2024,0 x 0,816,0,"R$1,61 ","0,966","1,973"
Não Identificado,Portal NE10,11/02/2024,0 x 0,1253,1,"R$0,74 ","0,444","0,5906"
Não Identificado,Portal NE10,12/02/2024,0 x 0,846,0,"R$0,66 ","0,396","0,7801"
Não Identificado,Portal NE10,13/02/2024,0 x 0,496,1,"R$0,52 ","0,312","1,0484"
Não Identificado,Portal NE10,14/02/2024,0 x 0,1313,1,"R$1,23 ","0,738","0,9368"
Não Identificado,Portal NE10,15/02/2024,0 x 0,3378,2,"R$3,32 ","1,992","0,9828"
Não Identificado,Portal NE10,01/02/2024,0 x 0,24,1,"R$0,27 ","0,162","11,25"
Não Identificado,Portal NE10,02/02/2024,0 x 0,89,0,"R$0,30 ","0,18","3,3708"
Não Identificado,Portal NE10,03/02/2024,0 x 0,66,2,"R$0,41 ","0,246","6,2121"
Não Identificado,Portal NE10,04/02/2024,0 x 0,71,0,"R$0,23 ","0,138","3,2394"
Não Identificado,Portal NE10,05/02/2024,0 x 0,146,0,"R$0,64 ","0,384","4,3836"
Não Identificado,Portal NE10,06/02/2024,0 x 0,166,0,"R$0,39 ","0,234","2,3494"
Não Identificado,Portal NE10,07/02/2024,0 x 0,57,0,"R$0,48 ","0,288","8,4211"
