Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$)
-,parceiros (10869286) » ne_10 (11238766),2/1/2024,0 x 0,-1,",10869286,11238766,",236,0,"R$0,25 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/1/2024,0 x 0,-1,",10869286,11238766,22834406532,",299,1,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,",1891,0,"R$2,97 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2626,2,"R$2,70 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",24,1,"R$0,27 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",99,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/1/2024,0 x 0,-1,",10869286,11238766,21720229610,",5,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,",45,0,"R$0,28 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",202,1,"R$0,49 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",3,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",16,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),2/1/2024,0 x 0,-1,",10869286,11238766,22674207097,",5,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,",30273,2,"R$54,54 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",43310,0,"R$67,24 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",8,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",18966,20,"R$26,89 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",7909,0,"R$15,67 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",12990,15,"R$14,14 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » in-article (22475135310),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22475135310,",1635,4,"R$4,20 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » oviral (21725355524) » in-article (21823751460),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,21725355524,21823751460,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » o-viral (22667687894),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22667687894,",27,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22503128490,",27276,0,"R$32,79 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » amp_stories (22722733856),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22503128490,22722733856,",28,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",2260,3,"R$2,99 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » in-article (22503434018),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22503128490,22503434018,",116,0,"R$0,44 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22462745544,",10069,1,"R$15,69 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544) » amp_stories (22722409933),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22462745544,22722409933,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544) » anchor (22835339397),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22462745544,22835339397,",1163,3,"R$1,99 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544) » in-article (22473635649),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22462745544,22473635649,",123,0,"R$0,52 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544) » story (22871018926),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22462745544,22871018926,",7,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21814348402,",380,0,"R$3,22 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21814348402,22691595903,",482,0,"R$0,57 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » jc_digital (22893451057),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22893451057,",306,0,"R$0,22 "
-,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),2/1/2024,0 x 0,-1,",10869286,11238766,21722702436,",643,0,"R$1,14 "
-,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),2/1/2024,0 x 0,-1,",10869286,11238766,21722702436,22835337900,",287,1,"R$0,65 "
-,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » in-article (22521807661),2/1/2024,0 x 0,-1,",10869286,11238766,21722702436,22521807661,",3,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » in-article (22521807661) » outstream (22691595927),2/1/2024,0 x 0,-1,",10869286,11238766,21722702436,22521807661,22691595927,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),2/1/2024,0 x 0,-1,",10869286,11238766,21719551231,",916,0,"R$1,53 "
-,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),2/1/2024,0 x 0,-1,",10869286,11238766,21719551231,22834993604,",367,0,"R$0,41 "
-,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724),2/1/2024,0 x 0,-1,",10869286,11238766,21719551231,21798635724,",65,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724) » anchor (22835868507),2/1/2024,0 x 0,-1,",10869286,11238766,21719551231,21798635724,22835868507,",28,0,"R$0,02 "
